package,criterion,n_masked,from_none,from_weak,from_moderate,from_strong,from_not_assessable
GM12878_25kb,BD2_ctcf,557,497,31,20,9,0
GM12878_25kb,BD3_rad21,557,514,19,18,6,0
GM12878_10kb,BD2_ctcf,1206,1086,65,42,13,0
GM12878_10kb,BD3_rad21,1206,1114,42,41,9,0
IMR90_25kb,BD2_ctcf,434,371,32,21,10,0
IMR90_25kb,BD3_rad21,434,400,23,9,2,0
IMR90_10kb,BD2_ctcf,965,845,66,35,19,0
IMR90_10kb,BD3_rad21,965,894,48,18,5,0
HepG2_25kb,BD2_ctcf,400,338,33,19,10,0
HepG2_25kb,BD3_rad21,400,363,23,11,3,0
HepG2_10kb,BD2_ctcf,912,784,65,50,13,0
HepG2_10kb,BD3_rad21,912,825,57,25,5,0
TOTAL,BD2_ctcf,4474,3921,292,187,74,0
TOTAL,BD3_rad21,4474,4110,212,122,30,0
