package,D_tier_v10,D_tier_v11,n
GM12878_10kb,D2,D1,18
GM12878_10kb,D3,D1,5
GM12878_10kb,D4,D3,11
GM12878_10kb,D5,D3,1
GM12878_25kb,D2,D1,9
GM12878_25kb,D3,D1,2
GM12878_25kb,D4,D3,1
GM12878_25kb,D5,D3,2
GM12878_25kb,D5,D4,1
HepG2_10kb,D2,D1,11
HepG2_10kb,D3,D1,4
HepG2_10kb,D4,D3,8
HepG2_10kb,D5,D3,2
HepG2_25kb,D2,D1,4
HepG2_25kb,D4,D3,3
HepG2_25kb,D5,D3,1
IMR90_10kb,D2,D1,23
IMR90_10kb,D3,D1,5
IMR90_10kb,D4,D3,7
IMR90_10kb,D5,D3,2
IMR90_10kb,D5,D4,3
IMR90_25kb,D2,D1,10
IMR90_25kb,D3,D1,3
IMR90_25kb,D4,D3,9
IMR90_25kb,D5,D3,1
IMR90_25kb,D5,D4,3
