package,tier,corpus_n,corpus_pct,hit_candidates_n,hit_candidates_pct
GM12878_10kb,D1,29263,42.12,784,33.82
GM12878_10kb,D2,4436,6.38,172,7.42
GM12878_10kb,D3,20596,29.64,804,34.69
GM12878_10kb,D4,8911,12.83,332,14.32
GM12878_10kb,D5,6273,9.03,226,9.75
GM12878_25kb,D1,8800,31.14,511,25.9
GM12878_25kb,D2,1329,4.7,92,4.66
GM12878_25kb,D3,8948,31.66,724,36.7
GM12878_25kb,D4,5304,18.77,369,18.7
GM12878_25kb,D5,3878,13.72,277,14.04
HepG2_10kb,D1,18495,28.96,430,19.83
HepG2_10kb,D2,1622,2.54,58,2.68
HepG2_10kb,D3,27756,43.46,1035,47.74
HepG2_10kb,D4,7872,12.33,318,14.67
HepG2_10kb,D5,8115,12.71,327,15.08
HepG2_25kb,D1,5684,19.26,280,13.02
HepG2_25kb,D2,559,1.89,35,1.63
HepG2_25kb,D3,12701,43.04,974,45.3
HepG2_25kb,D4,5797,19.64,498,23.16
HepG2_25kb,D5,4772,16.17,363,16.88
IMR90_10kb,D1,26491,40.66,783,33.35
IMR90_10kb,D2,4570,7.01,170,7.24
IMR90_10kb,D3,19531,29.98,827,35.22
IMR90_10kb,D4,9561,14.67,382,16.27
IMR90_10kb,D5,5004,7.68,186,7.92
IMR90_25kb,D1,8520,29.92,543,25.6
IMR90_25kb,D2,1512,5.31,110,5.19
IMR90_25kb,D3,9640,33.85,832,39.23
IMR90_25kb,D4,5734,20.14,440,20.74
IMR90_25kb,D5,3070,10.78,196,9.24
