# Figure 1b -- GM12878 chr7 Hi-C contact values, for the R-drawn contact map.
# Written by figures/scripts/export_hic_matrix.py. EXPORT ONLY: no value here is
# rescaled, logged or coloured -- these are the cooler's own ICE-balanced contact
# frequencies (count * weight_i * weight_j), exactly as the software reads them.
# source: /home/coder/TAD/creditad/package_stage/example_data/chr7_tracks/GM12878_chr7_hg38.mcool
# cooler: /resolutions/10000   balanced: True (ICE 'weight' column)
# drawn window: chr7:86525000-87325000   triangle apex separation: 260000 bp
# fetched region: chr7:86375000-87475000 (half the apex beyond each edge, so the drawn
#   triangle's upper corners are covered; the panel clips to the drawn window)
# rows: EVERY cell of the drawn region -- including cells with no contacts, so the
#   panel renders them deliberately rather than leaving bare paper, and including
#   one row/column of OVERDRAW beyond the drawn limits so the panel's clip cuts a
#   straight edge (the overdraw is exported, not drawn).
# geometry: ROTATED TRIANGLE, 3.08:1 (window 800 kb : separation cap 260 kb)
# status: measured      = a contact count was observed
#         zero          = both bins are ICE-weighted and the count is zero
#         unmeasurable  = a bin carries no ICE weight (balanced is NA)
# columns: bin_i bin_j start_i start_j balanced count status
bin_i	bin_j	start_i	start_j	balanced	count	status
0	27	86370000	86640000	0.001129317447	13	measured
0	28	86370000	86650000	0.001106587801	12	measured
1	26	86380000	86630000	0.001950326112	28	measured
1	27	86380000	86640000	0.002224749889	26	measured
1	28	86380000	86650000	0.001634979448	18	measured
1	29	86380000	86660000	0.001352807567	17	measured
2	25	86390000	86620000	0.002936306036	25	measured
2	26	86390000	86630000	0.001930100123	23	measured
2	27	86390000	86640000	0.0009277974055	9	measured
2	28	86390000	86650000	0.001750904964	16	measured
2	29	86390000	86660000	0.001725688504	18	measured
2	30	86390000	86670000	0.001683430241	18	measured
3	24	86400000	86610000	0.001940840663	23	measured
3	25	86400000	86620000	0.001548484085	17	measured
3	26	86400000	86630000	0.001561923502	24	measured
3	27	86400000	86640000	0.001598958366	20	measured
3	28	86400000	86650000	0.001697341003	20	measured
3	29	86400000	86660000	0.001412667707	19	measured
3	30	86400000	86670000	0.001595665355	22	measured
3	31	86400000	86680000	0.0008546925285	12	measured
4	23	86410000	86600000	0.002406064868	25	measured
4	24	86410000	86610000	0.002583247102	22	measured
4	25	86410000	86620000	0.002154705746	17	measured
4	26	86410000	86630000	0.001901730783	21	measured
4	27	86410000	86640000	0.001001223174	9	measured
4	28	86410000	86650000	0.001889471359	16	measured
4	29	86410000	86660000	0.00196571812	19	measured
4	30	86410000	86670000	0.00211943281	21	measured
4	31	86410000	86680000	0.001288407479	13	measured
4	32	86410000	86690000	0.001225637879	15	measured
5	22	86420000	86590000	0.002043374185	25	measured
5	23	86420000	86600000	0.002589883915	33	measured
