role,boundary_id,field,coordinate_list_shows,evidence_record_shows,source_column
primary,chr1:1310000,genomic position,"chr1:1310000-1320000 (bin start 1310000, 10000 bp bin)",chr1:1310000-1320000 (identical),"chrom, pos, resolution_bp"
primary,chr1:1310000,caller support (BD1),not shown,5/6 callers: TopDom;SpectralTAD;MSTD;arrowhead;DI; grade strong,"votes, n_methods, supporting_callers, BD1_caller_support"
primary,chr1:1310000,caller offsets,not shown,0;0;0;-10000;0 bp from the candidate position,supporting_offsets_bp
primary,chr1:1310000,CTCF (BD2),not shown,grade strong; fold 2.3671 vs background 0.61100; null percentile 98.51,"BD2_ctcf, ctcf_fold, bg_ctcf, ctcf_null_pct"
primary,chr1:1310000,cohesin/RAD21 (BD3),not shown,grade weak; fold 1.3835 vs background 0.59390; null percentile 89.41,"BD3_rad21, rad21_fold, bg_rad21, rad21_null_pct"
primary,chr1:1310000,loop-anchor engagement (BD4),not shown,grade none; loop_anchor_count = 0 loop ends in a 50000 bp window,"BD4_loop_anchor, loop_anchor_count, loop_window_bp"
primary,chr1:1310000,evidence tier,not shown,D5 (rule max_support_v2),"D_tier, tier_rule_version"
primary,chr1:1310000,derivation of the tier,not shown,BD1 strong + supporting strong → D5 (best supporting: BD2=strong),reproduced by tad_vci.curation._tier_why from BD1-BD4 grade columns
primary,chr1:1310000,what was NOT measured,not shown,all four criteria were assessable at this position,not_assessable_criteria
primary,chr1:1310000,threshold provenance,not shown,"BD2/BD3 bands from GM12878 (packaged), calibrated=True; ChIP window 50000 bp","bands_cell, bands_source, bands_calibrated, chip_window_bp"
primary,chr1:1310000,panel definition,not shown,"TopDom,SpectralTAD,OnTAD,MSTD,arrowhead,DI; rule: grade_votes(votes, n_methods=6): strong>=ceil(0.8*n), moderate>=ceil(0.6*n), else weak; a method votes if any of its calls is within +/-10000 bp (+/-1 bins) of the candidate","bd1_panel, bd1_rule"
primary,chr1:1310000,why this boundary is being looked at,nothing in the list says,"ClinVar 541215 (RCV000651427), Deletion, Pathogenic, chr1:1020153-1313808 (293655 bp); breakpoint Stop at 1313808 lies 3807 bp from the candidate position",external: ClinVar variant_summary (see SOURCE_PROVENANCE.json)
companion,chr1:830000,genomic position,"chr1:830000-840000 (bin start 830000, 10000 bp bin)",chr1:830000-840000 (identical),"chrom, pos, resolution_bp"
companion,chr1:830000,caller support (BD1),not shown,1/6 callers: TopDom; grade weak,"votes, n_methods, supporting_callers, BD1_caller_support"
companion,chr1:830000,caller offsets,not shown,0 bp from the candidate position,supporting_offsets_bp
companion,chr1:830000,CTCF (BD2),not shown,grade none; fold 0.6297 vs background 0.61100; null percentile 12.10,"BD2_ctcf, ctcf_fold, bg_ctcf, ctcf_null_pct"
companion,chr1:830000,cohesin/RAD21 (BD3),not shown,grade none; fold 0.5081 vs background 0.59390; null percentile 11.22,"BD3_rad21, rad21_fold, bg_rad21, rad21_null_pct"
companion,chr1:830000,loop-anchor engagement (BD4),not shown,grade none; loop_anchor_count = 0 loop ends in a 50000 bp window,"BD4_loop_anchor, loop_anchor_count, loop_window_bp"
companion,chr1:830000,evidence tier,not shown,D1 (rule max_support_v2),"D_tier, tier_rule_version"
companion,chr1:830000,derivation of the tier,not shown,BD1 weak + no positive supporting → D1 (best supporting: no supporting signal),reproduced by tad_vci.curation._tier_why from BD1-BD4 grade columns
companion,chr1:830000,what was NOT measured,not shown,all four criteria were assessable at this position,not_assessable_criteria
companion,chr1:830000,threshold provenance,not shown,"BD2/BD3 bands from GM12878 (packaged), calibrated=True; ChIP window 50000 bp","bands_cell, bands_source, bands_calibrated, chip_window_bp"
companion,chr1:830000,panel definition,not shown,"TopDom,SpectralTAD,OnTAD,MSTD,arrowhead,DI; rule: grade_votes(votes, n_methods=6): strong>=ceil(0.8*n), moderate>=ceil(0.6*n), else weak; a method votes if any of its calls is within +/-10000 bp (+/-1 bins) of the candidate","bd1_panel, bd1_rule"
companion,chr1:830000,why this boundary is being looked at,nothing in the list says,"ClinVar 58037 (RCV000051780), copy number gain, Pathogenic, chr1:826553-4719105 (3892552 bp); breakpoint Start at 826553 lies 3448 bp from the candidate position",external: ClinVar variant_summary (see SOURCE_PROVENANCE.json)
