package,caller,n_lines,start_off_end,end_beyond_chrom
GM12878_25kb,TopDom,10235,0,9
GM12878_25kb,SpectralTAD,11806,1,10
GM12878_25kb,OnTAD,3657,0,11
GM12878_25kb,MSTD,5515,0,10
GM12878_25kb,arrowhead,9492,0,4
GM12878_25kb,DI,9818,9,12
GM12878_10kb,TopDom,25677,0,3
GM12878_10kb,SpectralTAD,30855,0,3
GM12878_10kb,OnTAD,5903,0,6
GM12878_10kb,MSTD,12046,0,3
GM12878_10kb,DI,15281,0,3
IMR90_25kb,TopDom,8989,0,5
IMR90_25kb,SpectralTAD,11525,0,6
IMR90_25kb,OnTAD,3526,0,12
IMR90_25kb,MSTD,5694,0,6
IMR90_25kb,arrowhead,8300,0,1
IMR90_25kb,DI,7254,0,6
IMR90_10kb,TopDom,20409,0,2
IMR90_10kb,SpectralTAD,30635,0,2
IMR90_10kb,OnTAD,5528,0,8
IMR90_10kb,MSTD,12116,0,2
IMR90_10kb,DI,11119,0,2
HepG2_25kb,TopDom,9361,0,7
HepG2_25kb,SpectralTAD,11884,0,6
HepG2_25kb,OnTAD,4071,0,11
HepG2_25kb,MSTD,5584,0,7
HepG2_25kb,arrowhead,8613,0,1
HepG2_25kb,DI,7672,0,8
HepG2_10kb,TopDom,20843,0,2
HepG2_10kb,SpectralTAD,30448,0,2
HepG2_10kb,OnTAD,6419,0,6
HepG2_10kb,MSTD,12225,0,2
HepG2_10kb,DI,11478,2,5
