chrom,pos,reason,BD1_caller_support,BD2_ctcf_v10,BD3_rad21_v10,BD4_loop_anchor,D_tier_v10,D_tier_v11,not_assessable_criteria_v11,package
1,2725000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,12975000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,16800000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,16825000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,122500000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,124775000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,143175000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,143275000,encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,223575000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,223600000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
1,248950000,assembly_gap,strong,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
2,0,assembly_gap,moderate,weak,none,none,D3,D3,"BD2,BD3",GM12878_25kb
2,89700000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,89750000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,91400000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,91800000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,91825000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,91975000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,92000000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94175000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94300000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94500000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94525000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94575000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94825000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,94950000,assembly_gap,weak,weak,none,none,D2,D1,"BD2,BD3",GM12878_25kb
2,94975000,assembly_gap,weak,moderate,weak,moderate,D3,D3,"BD2,BD3",GM12878_25kb
2,95125000,assembly_gap,weak,weak,none,moderate,D3,D3,"BD2,BD3",GM12878_25kb
2,95150000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,95175000,assembly_gap,weak,weak,none,none,D2,D1,"BD2,BD3",GM12878_25kb
2,95225000,assembly_gap,weak,weak,weak,none,D2,D1,"BD2,BD3",GM12878_25kb
2,95325000,assembly_gap,weak,moderate,none,none,D3,D1,"BD2,BD3",GM12878_25kb
2,95400000,assembly_gap,weak,moderate,none,none,D3,D1,"BD2,BD3",GM12878_25kb
2,95425000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,95475000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,95600000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,95650000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
2,95750000,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
2,95775000,assembly_gap,strong,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
2,95800000,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
2,95950000,assembly_gap,strong,none,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
2,95975000,assembly_gap,strong,none,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,0,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,87975000,assembly_gap,weak,none,none,strong,D3,D3,"BD2,BD3",GM12878_25kb
3,88000000,assembly_gap,weak,none,moderate,strong,D3,D3,"BD2,BD3",GM12878_25kb
3,88175000,assembly_gap,strong,weak,none,strong,D5,D5,"BD2,BD3",GM12878_25kb
3,88200000,assembly_gap,strong,moderate,moderate,strong,D5,D5,"BD2,BD3",GM12878_25kb
3,88475000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,88625000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,88800000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,88975000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89100000,assembly_gap,moderate,moderate,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,89125000,assembly_gap,moderate,none,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,89175000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89275000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89350000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89425000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89550000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89600000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89625000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,89875000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,90100000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,90175000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,90200000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,90300000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,90325000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,90475000,assembly_gap+encode_blacklist,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,91300000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,91475000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,91500000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,93800000,assembly_gap+encode_blacklist,strong,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,93900000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,93925000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,93975000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94125000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94150000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94200000,assembly_gap,strong,none,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,94225000,assembly_gap,strong,none,moderate,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,94325000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94350000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94750000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94825000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94850000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94875000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94900000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,94925000,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,94950000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95000000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95100000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95150000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95325000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95350000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95525000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95550000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,95725000,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,95750000,assembly_gap,strong,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,95775000,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,95900000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96000000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96050000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96175000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96200000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96250000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96275000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96300000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96550000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96650000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96700000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,96800000,assembly_gap,moderate,weak,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,96825000,assembly_gap,strong,weak,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,96850000,assembly_gap,strong,weak,none,moderate,D4,D4,"BD2,BD3",GM12878_25kb
3,96875000,assembly_gap,moderate,none,none,none,D3,D3,"BD2,BD3",GM12878_25kb
3,97150000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,97200000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,97225000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,97400000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
3,97575000,assembly_gap,weak,none,none,none,D1,D1,"BD2,BD3",GM12878_25kb
